This cookie is used to track anonymous information about how website visitors use the site.|['2']
Functionality cookies: These cookies allow the website to remember choices you make (such as your username or ID, language preference, or the area or region you are in) and provide enhanced, more personal features|['13']
Non-discrimination: The CCPA provides that you may not be discriminated against for exercising these rights.To submit a request to exercise any of the rights described above, please contact us using the methods described in the Contact Us section below|['9', '36']
For example: Cookies can help us identify and impose additional security measures when someone may be attempting to access a Facebook account without authorisation, for instance, by rapidly guessing different passwords|['13', '14']
Updates and notifications8|['24']
It appears to store and update a unique value for each page visited.|['2', '37']
Cookie name|['39']
Consent state: digit between 0 and 3|['37']
This cookie is used to signal to us that the user is already logged in.|['2']
Cookie Name|['39']
__cfduid|['0']
Jurisdiction-specific provisionsAustralia|['24']
For example: Cookies help us store preferences, know when you’ve seen or interacted with Meta Products’ content and provide you with customised content and experiences|['14']
Any other entity which buys us or part of our business will have the right to continue to use your Personal Data, but subject to the terms of this Policy.Compliance and Harm Prevention|['30', '9', '24']
cmy_session_state|['0']
GitHub provides a great deal of transparency regarding how we use your data, how we collect your data, and with whom we share your data|['9']
Microsoft|['3']
lidc|['0']
pardot|['0']
By default it is set to expire after 2 years, although this is customisable by website owners.cityfibre.com_gatThis cookie name is associated with Google Universal Analytics, according to documentation it is used to throttle the request rate – limiting the collection of data on high traffic sites|['1']
UserMatchHistory|['0']
